name,occurences,%
Cast Iron Warhammer of Pain,2,0.002
Lion Chest of Vengeance,9,0.009000000000000001
Mystic Slippers of Moon,7,0.006999999999999999
Ancient Gauntlets,424,0.424
Mask,340,0.33999999999999997
Champion Platelegs,582,0.582
Leather Belt,406,0.406
Plague Ring of Abyss,5,0.005
Plague Choker of Fiery Might,4,0.004
Champion Rapier of Arcane,2,0.002
Divine Cloak of Doom,5,0.005
Leather Boots of Storms,10,0.01
Bronze Gauntlets,375,0.375
Demonic Mask,285,0.28500000000000003
Bronze Platelegs,598,0.598
Robin Hood's Quiver,217,0.217
Bear Pelt,393,0.393
Dragonscale Bracelet of Storms,7,0.006999999999999999
Plague Necklace of Warding,6,0.006
Champion Rapier of Might,1,0.001
Leather Jacket of Healing,14,0.013999999999999999
Steel Boots of Rage,10,0.01
Mystic Greaves,610,0.61
Shadow Shield,194,0.194
Titan Sash,362,0.362
Diamond Bracelet of Lightning,11,0.011000000000000001
Crimson Choker of Moon,11,0.011000000000000001
Shadow Double Bow,3,0.003
Bear Chest of Vengeance,12,0.012
Werewolf Paws of Insanity,10,0.01
Dragonscale Helm,295,0.295
Mystic Orb,196,0.196
Gold Bracelet of Insanity,5,0.005
Possessed Choker of Destruction,6,0.006
Ancient Tome of Insanity,3,0.003
Cloak of Insanity,14,0.013999999999999999
Leather Boots of Moon,11,0.011000000000000001
Cracked Greaves,560,0.5599999999999999
Wood Belt,351,0.35100000000000003
Enchanted Bracer of Lightning,7,0.006999999999999999
Exquisite Pendant of Void,3,0.003
Champion Tome of Arcane,3,0.003
Steel Breastplate of Fiery Might,10,0.01
Wood Boots of Fiery Might,6,0.006
Arcane Gloves,386,0.386
Orb,199,0.199
Silk Sash,375,0.375
Enchanted Bracelet of Suffering,4,0.004
Elemental Pendant of Wit,9,0.009000000000000001
Long Bow of Doom,3,0.003
Dragonscale Breastplate of Moon,16,0.016
Bear Paws of Abyss,18,0.018000000000000002
Cracked Helm,292,0.292
Forged Platelegs,580,0.58
Shadow Pavise,179,0.179
Party Sash,354,0.35400000000000004
Engraved Ring of Light,8,0.008
Crimson Pendant of Warding,5,0.005
Mystic Staff of Light,2,0.002
Leather Jacket of Skill,13,0.013
Dragonscale Slippers of Doom,17,0.017
Bronze Helm,316,0.316
Lion Tail,404,0.404
Sage Ring of Warding,6,0.006
Diamond Amulet of Storms,6,0.006
Cast Iron Mace of Storms,3,0.003
Steel Boots of Sun,15,0.015
Mystic Wizard Gloves,387,0.387
Steel Buckler,173,0.173
Possessed Bracelet of Destruction,4,0.004
Elemental Amulet of Destruction,5,0.005
Cast Iron Morningstar of Suffering,3,0.003
Ancient Breastplate of Suffering,9,0.009000000000000001
Dragon Talons of Void,22,0.022000000000000002
Reinforced Gauntlets,386,0.386
Forged Buckler,213,0.213
Dragon Tail,408,0.40800000000000003
Exquisite Bracelet of Moon,7,0.006999999999999999
Necklace of Destruction,3,0.003
Steel Scythe of Shadows,3,0.003
Werewolf Chest of Insanity,15,0.015
Lava-Forged Boots,12,0.012
Mystic Gauntlets,348,0.348
Hood,314,0.314
Wood Pavise,215,0.215
Crimson Ring of Lightning,10,0.01
Engraved Pendant of Sun,4,0.004
Champion Tome of Wit,3,0.003
Silk Robe of Doom,14,0.013999999999999999
Sandles of Arcane,12,0.012
Dragon Claws,410,0.41000000000000003
Lava-Forged Helm,281,0.281
Maleficient Girdle,350,0.35000000000000003
Cryptic Bracer of Souls,7,0.006999999999999999
Crimson Necklace of Arcane,6,0.006
Shadow Wand of Pain,1,0.001
Tunic of Storms,14,0.013999999999999999
Leather Slippers of Vengeance,13,0.013
Cracked Shield,191,0.191
Enflamed Ring of Torment,9,0.009000000000000001
Bronze Pendant of Torment,5,0.005
Bronze Warhammer of Torment,1,0.001
Leather Breastplate of Sun,9,0.009000000000000001
Mystic Boots of Healing,14,0.013999999999999999
Shadow Greaves,639,0.639
Lava-Forged Pavise,197,0.197
Wool Sash,385,0.385
Silver Bracer of Light,4,0.004
Choker of Abyss,6,0.006
Ancient Halberd of Healing,1,0.001
Silk Shirt of Shadows,12,0.012
Lava-Forged Boots of Might,15,0.015
Steel Gauntlets,404,0.404
Demon Crown,326,0.326
Mystic Shield,186,0.186
Gold Bracer of Skill,5,0.005
Imbued Amulet of Brilliance,6,0.006
Champion Quarterstaff of Torment,5,0.005
Dragonscale Breastplate of Brilliance,9,0.009000000000000001
Champion Boots of Torment,11,0.011000000000000001
Cast Iron Gauntlets,375,0.375
Leather Shield,211,0.211
Diamond Bracelet of Doom,9,0.009000000000000001
Engraved Necklace of Brilliance,4,0.004
Worn Ice Flame of Fiery Might,1,0.001
Cracked Breastplate of Arcane,24,0.024
Leather Slippers of Warding,14,0.013999999999999999
Leather Hood,312,0.312
Mystic Talisman,192,0.192
Engraved Bracer of Suffering,8,0.008
Dragonscale Pendant of Warding,5,0.005
Ancient Wand of Sun,1,0.001
Forged Breastplate of Light,12,0.012
Dragonscale Slippers of Brilliance,11,0.011000000000000001
Wool Gloves,417,0.41700000000000004
Kilt,376,0.376
Gold Bracelet of Wit,5,0.005
Sage Pendant of Light,5,0.005
Demonic Axe of Might,2,0.002
Werewolf Chest of Healing,12,0.012
Mystic Boots of Vengeance,16,0.016
Wood Gloves,369,0.369
Elemental Bracer of Pain,3,0.003
Sage Choker of Pain,2,0.002
Wood Greater Wand of Insanity,1,0.001
Wood Breastplate of Sun,13,0.013
Reinforced Shoes of Void,17,0.017
Mystic Buckler,219,0.219
Crimson Bracelet of Healing,13,0.013
Exquisite Choker of Moon,5,0.005
Cast Iron Spear of Healing,2,0.002
Cloak of Moon,10,0.01
Dragon Talons of Storms,16,0.016
Cast Iron Pavise,220,0.22
Elemental Bracer of Abyss,4,0.004
True Necklace of Void,6,0.006
Steel Long Sword of Light,2,0.002
Divine Cloak of Sun,12,0.012
Wool Slippers of Souls,17,0.017
Cryptic Ring of Lightning,6,0.006
Bronze Amulet of Abyss,9,0.009000000000000001
Demonic Long Bow of Wit,2,0.002
Ancient Breastplate of Healing,12,0.012
Bronze Boots of Destruction,15,0.015
Dragon Crown,280,0.27999999999999997
Enflamed Ring of Moon,4,0.004
Lava-Forged Pendant of Skill,6,0.006
Forged Tome of Insanity,2,0.002
Mystic Robe of Moon,19,0.019
Ancient Boots of Skill,8,0.008
Mystic Pavise,191,0.191
Crystal Bracelet of Skill,4,0.004
Possessed Pendant of Might,8,0.008
Cracked Fire Flame of Storms,1,0.001
Divine Cloak of Lightning,10,0.01
Mystic Shoes of Might,18,0.018000000000000002
Cracked Gloves,382,0.382
Shadow Helm,309,0.309
Leather Greaves,549,0.549
Enflamed Ring of Lightning,6,0.006
Sage Pendant of Skill,7,0.006999999999999999
Shadow Tome of Healing,2,0.002
Lion Chest of Moon,15,0.015
Mystic Boots of Lightning,9,0.009000000000000001
Wood Cap,310,0.31
Lava-Forged Buckler,240,0.24
Enflamed Ring of Pain,9,0.009000000000000001
Lava-Forged Amulet of Pain,4,0.004
Champion Long Bow of Doom,3,0.003
Mystic Breastplate of Doom,9,0.009000000000000001
Forged Pavise,207,0.207
True Bracelet of Skill,7,0.006999999999999999
Diamond Necklace of Moon,5,0.005
Wood Staff of Suffering,3,0.003
Silk Robe of Arcane,10,0.01
Cracked Boots of Arcane,15,0.015
Gold Bracelet,6,0.006
Sage Pendant of Pain,7,0.006999999999999999
Ancient Short Bow of Abyss,3,0.003
Invisibility Cloak of Abyss,13,0.013
Clown Shoes of Healing,13,0.013
Leather Pavise,170,0.16999999999999998
Dragonscale Belt,407,0.407
Exquisite Bracelet of Doom,6,0.006
Worn Necklace of Moon,7,0.006999999999999999
Ice Flame of Insanity,2,0.002
Mystic Breastplate of Moon,11,0.011000000000000001
Pegasus Sandles of Vengeance,18,0.018000000000000002
Shadow Gauntlets,402,0.402
Sage Bracer of Storms,9,0.009000000000000001
Imbued Pendant of Suffering,4,0.004
Worn Halberd of Suffering,4,0.004
Forged Breastplate of Void,4,0.004
Lion Paws of Moon,20,0.02
Champion Gauntlets,368,0.368
Dragonscale Buckler,187,0.187
Werewolf Sash,404,0.404
Exquisite Ring of Shadows,6,0.006
Crystal Choker of Skill,6,0.006
Champion Tome of Fiery Might,4,0.004
Dragonscale Breastplate of Vengeance,17,0.017
Wood Boots of Suffering,18,0.018000000000000002
Lava-Forged Gauntlets,403,0.40299999999999997
Leather Cap,256,0.256
Possessed Ring of Souls,11,0.011000000000000001
Dragonscale Choker of Wit,3,0.003
Forged Scythe of Healing,3,0.003
Cracked Breastplate of Fiery Might,15,0.015
Ancient Shoes of Light,13,0.013
Bronze Pavise,199,0.199
Ring of Lightning,8,0.008
Enflamed Pendant of Abyss,4,0.004
Cast Iron Ice Flame of Vengeance,1,0.001
Demon Chest of Rage,6,0.006
Shadow Boots of Souls,18,0.018000000000000002
Sage Ring of Moon,7,0.006999999999999999
Crimson Amulet of Fiery Might,7,0.006999999999999999
Cast Iron Long Sword of Vengeance,1,0.001
Dragon Wings of Rage,16,0.016
Champion Boots of Suffering,11,0.011000000000000001
Ancient Helm,284,0.28400000000000003
Demon Skin,584,0.584
Crimson Bracer of Doom,12,0.012
Enflamed Amulet of Brilliance,7,0.006999999999999999
Forged Warhammer of Sun,2,0.002
Mystic Breastplate of Destruction,18,0.018000000000000002
Clown Shoes of Storms,6,0.006
Champion Helm,271,0.271
Champion Pavise,191,0.191
Cryptic Ring of Sun,6,0.006
Gold Pendant of Moon,4,0.004
Cracked Fire Flame of Lightning,2,0.002
Leather Breastplate of Souls,10,0.01
Leather Slippers of Healing,14,0.013999999999999999
Worn Bracelet of Souls,7,0.006999999999999999
Possessed Pendant of Destruction,5,0.005
Wood Club of Torment,1,0.001
Champion Breastplate of Destruction,16,0.016
Lava-Forged Boots of Wit,13,0.013
Sage Choker of Vengeance,4,0.004
Ancient Long Sword of Doom,2,0.002
Invisibility Cloak of Warding,18,0.018000000000000002
Leather Slippers of Storms,15,0.015
Cast Iron Shield,171,0.17099999999999999
Wolf Tail,372,0.372
Elemental Ring of Storms,3,0.003
Divine Pendant of Wit,4,0.004
Cracked Quarterstaff of Doom,2,0.002
Mystic Robe of Storms,13,0.013
Ancient Boots of Void,9,0.009000000000000001
Reinforced Helm,281,0.281
Exquisite Bracelet of Pain,3,0.003
Exquisite Amulet of Doom,8,0.008
Reinforced Greater Wand of Storms,1,0.001
Lava-Forged Breastplate of Shadows,11,0.011000000000000001
Reinforced Boots of Pain,13,0.013
Steel Shield,191,0.191
Divine Bracelet of Moon,8,0.008
Possessed Choker of Brilliance,4,0.004
Shadow Dagger of Destruction,2,0.002
Divine Cloak of Fiery Might,13,0.013
Ancient Shoes of Warding,10,0.01
Bear Hide,591,0.5910000000000001
Straw,384,0.384
Silver Ring of Void,7,0.006999999999999999
Worn Necklace of Fiery Might,5,0.005
Lava-Forged Warhammer of Moon,3,0.003
Jacket of Suffering,12,0.012
Pegasus Sandles of Arcane,12,0.012
Crown,263,0.263
Possessed Ring of Sun,7,0.006999999999999999
Exquisite Amulet of Suffering,9,0.009000000000000001
Mystic Fire Flame of Skill,4,0.004
Lava-Forged Breastplate of Vengeance,13,0.013
Pegasus Sandles of Shadows,9,0.009000000000000001
Dragonscale Gauntlets,402,0.402
Werewolf Head,327,0.327
Bloodmoon Obi,384,0.384
Plague Ring of Skill,8,0.008
True Choker of Destruction,6,0.006
Long Bow of Light,2,0.002
Silk Tunic of Brilliance,9,0.009000000000000001
Shadow Boots of Light,7,0.006999999999999999
Bracer of Light,6,0.006
Enflamed Necklace of Arcane,4,0.004
Ancient Club of Storms,1,0.001
Jacket of Abyss,14,0.013999999999999999
Forged Boots of Pain,6,0.006
Sage Bracer,10,0.01
Enflamed Amulet of Destruction,5,0.005
Demonic Dagger of Suffering,3,0.003
Tunic of Might,7,0.006999999999999999
Mystic Boots of Light,16,0.016
Soul Stone,211,0.211
Crystal Bracer of Light,7,0.006999999999999999
Engraved Amulet of Lightning,5,0.005
Worn Quarterstaff of Skill,3,0.003
Dragonscale Boots of Wit,18,0.018000000000000002
Exquisite Bracelet of Souls,9,0.009000000000000001
Crimson Choker of Torment,6,0.006
Champion Long Bow of Healing,1,0.001
Shadow Breastplate of Souls,8,0.008
Ancient Shoes of Brilliance,13,0.013
Ancient Buckler,180,0.18
Lava-Forged Bracer of Shadows,7,0.006999999999999999
Divine Pendant of Sun,10,0.01
Greater Wand of Fiery Might,2,0.002
Jacket of Vengeance,13,0.013
Arcane Boots of Brilliance,18,0.018000000000000002
Wood Helm,277,0.27699999999999997
Diamond Belt,361,0.361
Divine Bracer of Fiery Might,6,0.006
Diamond Choker of Souls,6,0.006
Cast Iron Scepter of Rage,2,0.002
Silk Tunic of Destruction,12,0.012
Werewolf Paws of Torment,16,0.016
Ares Belt,418,0.418
Exquisite Bracelet of Light,7,0.006999999999999999
Lava-Forged Choker of Might,4,0.004
Wand of Storms,2,0.002
Invisibility Cloak of Storms,13,0.013
Wood Boots of Brilliance,15,0.015
Possessed Bracelet of Arcane,7,0.006999999999999999
Possessed Necklace of Doom,2,0.002
Short Bow of Torment,2,0.002
Mystic Robe of Void,16,0.016
Shadow Boots of Rage,12,0.012
Ancient Pavise,196,0.196
Crystal Bracer of Vengeance,9,0.009000000000000001
Crystal Amulet,10,0.01
Steel Halberd of Light,3,0.003
Cloak of Abyss,11,0.011000000000000001
Bronze Boots of Moon,8,0.008
Champion Shield,206,0.20600000000000002
Divine Ring of Shadows,8,0.008
Worn Wand of Arcane,4,0.004
Reinforced Breastplate of Suffering,16,0.016
Werewolf Paws of Lightning,18,0.018000000000000002
Crimson Bracelet of Skill,3,0.003
Silver Pendant of Destruction,9,0.009000000000000001
Steel Scythe of Fiery Might,2,0.002
Ancient Breastplate of Sun,11,0.011000000000000001
Dragonscale Shoes of Suffering,11,0.011000000000000001
Party Hat,281,0.281
Worn Ring of Doom,8,0.008
Worn Choker of Skill,5,0.005
Cast Iron Short Bow of Moon,2,0.002
Leather Jacket of Suffering,10,0.01
Lion Paws of Storms,12,0.012
Steel Helm,319,0.319
Steel Pavise,216,0.216
Diamond Ring of Fiery Might,8,0.008
Diamond Necklace of Void,6,0.006
Steel Warhammer of Insanity,3,0.003
Reinforced Breastplate of Insanity,14,0.013999999999999999
Bronze Boots of Souls,15,0.015
True Ring of Storms,10,0.01
Sage Amulet of Wit,9,0.009000000000000001
Lava-Forged Quarterstaff of Storms,1,0.001
Leather Jacket of Souls,15,0.015
Mystic Slippers of Skill,10,0.01
Bronze Shield,206,0.20600000000000002
Exquisite Bracer of Vengeance,6,0.006
Engraved Amulet of Destruction,7,0.006999999999999999
Cast Iron Scythe of Arcane,1,0.001
Robe of Torment,15,0.015
Dragonscale Slippers of Sun,14,0.013999999999999999
Elemental Bracer of Doom,5,0.005
Engraved Pendant of Rage,8,0.008
Forged Dagger of Void,1,0.001
Demon Chest of Healing,15,0.015
Dragonscale Boots of Shadows,14,0.013999999999999999
Aegis,202,0.202
Dragonscale Bracelet of Wit,7,0.006999999999999999
Plague Necklace,7,0.006999999999999999
Steel Club of Skill,2,0.002
Reinforced Shoes of Souls,13,0.013
Dragonscale Pavise,202,0.202
Sage Bracelet of Vengeance,7,0.006999999999999999
Worn Necklace of Brilliance,6,0.006
Worn Scepter of Insanity,3,0.003
Steel Breastplate of Light,11,0.011000000000000001
Dragon Talons of Skill,9,0.009000000000000001
Cracked Buckler,201,0.201
Bronze Bracer of Suffering,9,0.009000000000000001
Dragonscale Necklace of Abyss,6,0.006
Reinforced Morningstar of Void,2,0.002
Bronze Breastplate of Lightning,10,0.01
Ancient Slippers of Fiery Might,12,0.012
Wizard Hat,294,0.294
Crimson Bracelet of Fiery Might,8,0.008
Possessed Necklace of Might,7,0.006999999999999999
Cast Iron Morningstar of Fiery Might,2,0.002
Wood Breastplate of Souls,15,0.015
Crimson Bracelet of Torment,6,0.006
Cryptic Choker of Lightning,5,0.005
Forged Spear of Torment,2,0.002
Cast Iron Breastplate of Light,9,0.009000000000000001
Ancient Boots of Moon,15,0.015
Dragonscale Shield,205,0.20500000000000002
Worn Bracelet of Doom,6,0.006
Worn Choker of Arcane,2,0.002
Bronze Halberd of Souls,1,0.001
Cast Iron Breastplate of Insanity,10,0.01
Dragonscale Boots of Destruction,11,0.011000000000000001
Possessed Ring of Healing,5,0.005
Amulet of Sun,8,0.008
Steel Mace of Void,2,0.002
Jacket of Insanity,9,0.009000000000000001
Pegasus Sandles of Sun,11,0.011000000000000001
Bronze Bracelet,11,0.011000000000000001
Engraved Pendant of Torment,6,0.006
Mystic Double Bow of Might,3,0.003
Robe of Sun,13,0.013
Shadow Boots of Wit,11,0.011000000000000001
Forged Shield,239,0.23900000000000002
Bracer of Arcane,6,0.006
Silver Amulet of Sun,7,0.006999999999999999
Forged Axe of Light,2,0.002
Leather Breastplate of Suffering,7,0.006999999999999999
Sandles of Shadows,17,0.017
Imbued Bracer of Skill,6,0.006
Enchanted Pendant of Abyss,9,0.009000000000000001
Demonic Double Bow of Suffering,3,0.003
Bear Chest of Arcane,18,0.018000000000000002
Clown Shoes of Might,14,0.013999999999999999
Fluffy Gloves,403,0.40299999999999997
Possessed Necklace of Suffering,4,0.004
Ancient Long Bow of Suffering,1,0.001
Pegasus Sandles of Rage,15,0.015
Plague Bracelet of Abyss,6,0.006
Enflamed Choker of Rage,3,0.003
Ancient Halberd of Lightning,3,0.003
Wood Breastplate of Skill,27,0.027
Ancient Slippers of Souls,10,0.01
Bronze Bracelet of Insanity,6,0.006
Bronze Pendant of Insanity,3,0.003
Reinforced Long Bow of Brilliance,1,0.001
Forged Breastplate,9,0.009000000000000001
Ancient Boots of Insanity,15,0.015
Diamond Bracelet of Insanity,7,0.006999999999999999
Gold Pendant of Souls,2,0.002
Lava-Forged Wand of Light,7,0.006999999999999999
Silk Tunic of Vengeance,8,0.008
Pegasus Sandles of Doom,14,0.013999999999999999
Engraved Bracelet of Vengeance,13,0.013
Exquisite Necklace of Rage,5,0.005
Bronze Long Bow of Arcane,2,0.002
Champion Breastplate of Pain,11,0.011000000000000001
Forged Boots of Skill,17,0.017
Champion Buckler,180,0.18
Elemental Ring of Wit,3,0.003
Crystal Pendant of Lightning,6,0.006
Morningstar of Moon,1,0.001
Mystic Breastplate of Torment,12,0.012
Leather Slippers of Rage,10,0.01
Cryptic Ring of Moon,10,0.01
Engraved Amulet of Moon,6,0.006
Cast Iron Rapier of Shadows,4,0.004
Bear Chest of Shadows,11,0.011000000000000001
Pegasus Sandles of Insanity,18,0.018000000000000002
Enflamed Bracer of Torment,7,0.006999999999999999
Enflamed Choker of Lightning,4,0.004
Steel Mace,3,0.003
Jacket of Wit,19,0.019
Champion Boots of Sun,17,0.017
Silver Bracelet of Void,7,0.006999999999999999
Cryptic Necklace of Moon,4,0.004
Wood Morningstar of Destruction,2,0.002
Shadow Breastplate of Light,23,0.023
Bronze Boots of Shadows,14,0.013999999999999999
Silk Cap,266,0.266
Diamond Ring of Healing,7,0.006999999999999999
Exquisite Amulet of Light,5,0.005
Dragon Wings of Brilliance,20,0.02
Lava-Forged Boots of Abyss,13,0.013
Leather Helm,260,0.26
Cracked Pavise,203,0.203
Dragonscale Ring of Storms,3,0.003
Dragonscale Choker of Void,6,0.006
Cracked Axe of Arcane,3,0.003
Lava-Forged Breastplate of Arcane,9,0.009000000000000001
Leather Buckler,233,0.233
Crimson Bracer of Lightning,7,0.006999999999999999
True Pendant of Void,6,0.006
Shadow Double Bow of Skill,3,0.003
Dragonscale Shoes of Might,13,0.013
Enchanted Bracelet,5,0.005
Enflamed Necklace of Sun,5,0.005
Lava-Forged Ice Flame of Arcane,2,0.002
Demon Chest of Abyss,10,0.01
Reinforced Boots of Souls,15,0.015
Imbued Bracelet of Insanity,8,0.008
Pendant,4,0.004
Mystic Scythe of Pain,3,0.003
Tunic,14,0.013999999999999999
Leather Shoes of Might,12,0.012
Lava-Forged Bracelet of Light,3,0.003
Plague Choker of Moon,7,0.006999999999999999
Ancient Warhammer of Suffering,1,0.001
Steel Breastplate of Lightning,11,0.011000000000000001
Shadow Boots of Sun,5,0.005
Sage Ring of Fiery Might,5,0.005
Possessed Necklace of Insanity,9,0.009000000000000001
Mystic Spear of Light,1,0.001
Divine Cloak of Void,16,0.016
Elemental Bracer of Wit,6,0.006
Crystal Pendant of Pain,6,0.006
Worn Axe of Torment,1,0.001
Invisibility Cloak of Void,11,0.011000000000000001
Ancient Boots of Brilliance,15,0.015
Elemental Bracelet of Brilliance,8,0.008
Diamond Necklace,4,0.004
Steel Long Sword of Brilliance,2,0.002
Champion Breastplate of Skill,9,0.009000000000000001
Exquisite Ring of Suffering,6,0.006
Possessed Choker of Rage,5,0.005
Wood Long Sword of Rage,2,0.002
Wood Breastplate of Rage,17,0.017
Reinforced Shoes of Insanity,12,0.012
Diamond Ring of Souls,6,0.006
Enchanted Pendant,5,0.005
Cracked Club of Storms,3,0.003
Bronze Breastplate of Shadows,13,0.013
Dragonscale Slippers of Souls,14,0.013999999999999999
Lava-Forged Shield,189,0.189
Engraved Bracelet of Souls,13,0.013
Possessed Pendant of Brilliance,4,0.004
Ancient Spear of Suffering,2,0.002
Leather Jacket,14,0.013999999999999999
Bronze Boots of Might,12,0.012
Crimson Bracer,6,0.006
Crimson Amulet of Brilliance,4,0.004
Ancient Warhammer of Storms,1,0.001
Invisibility Cloak of Skill,11,0.011000000000000001
Cast Iron Boots of Pain,20,0.02
Exquisite Ring of Pain,6,0.006
Crimson Necklace of Pain,4,0.004
Steel Short Bow of Suffering,3,0.003
Cloak of Might,12,0.012
Dragonscale Boots of Suffering,12,0.012
Worn Bracer of Void,7,0.006999999999999999
Exquisite Amulet of Souls,10,0.01
Reinforced Long Bow of Sun,1,0.001
Reinforced Breastplate of Light,10,0.01
Wood Boots of Rage,12,0.012
Engraved Bracer of Light,3,0.003
Diamond Pendant of Lightning,8,0.008
Cracked Double Bow of Might,3,0.003
Mystic Breastplate of Abyss,14,0.013999999999999999
Leather Boots of Vengeance,14,0.013999999999999999
Sage Bracer of Lightning,6,0.006
Champion Tome of Void,5,0.005
Dragonscale Boots of Torment,9,0.009000000000000001
Silver Bracelet of Abyss,3,0.003
Crimson Pendant of Sun,3,0.003
Worn Morningstar of Storms,4,0.004
Arcane Breastplate of Storms,10,0.01
Cast Iron Boots of Wit,12,0.012
Exquisite Bracer of Abyss,8,0.008
Worn Necklace of Healing,5,0.005
Lava-Forged Dagger of Skill,2,0.002
Mystic Breastplate of Arcane,16,0.016
Lion Paws of Torment,11,0.011000000000000001
True Bracer of Might,7,0.006999999999999999
Enchanted Pendant of Moon,2,0.002
Warhammer of Wit,4,0.004
Shirt of Rage,12,0.012
Cryptic Bracer of Sun,5,0.005
Cryptic Choker of Storms,2,0.002
Reinforced Ice Flame of Torment,1,0.001
Champion Breastplate of Souls,13,0.013
Dragonscale Boots of Moon,11,0.011000000000000001
Diamond Bracer of Torment,6,0.006
Silver Necklace of Doom,2,0.002
Rapier of Fiery Might,2,0.002
Ancient Boots of Rage,17,0.017
Exquisite Bracer of Sun,6,0.006
Sage Amulet of Moon,8,0.008
Shadow Scythe of Insanity,3,0.003
Dragonscale Breastplate of Skill,16,0.016
Dragon Talons of Light,12,0.012
Crimson Bracer of Shadows,8,0.008
Crimson Amulet of Shadows,6,0.006
Wand of Souls,1,0.001
Cracked Breastplate of Shadows,13,0.013
Bronze Double Bow of Skill,1,0.001
Reinforced Breastplate of Skill,12,0.012
Ancient Shoes of Skill,4,0.004
Bronze Buckler,196,0.196
Bronze Bracer of Destruction,7,0.006999999999999999
Plague Choker of Light,7,0.006999999999999999
Worn Halberd of Light,2,0.002
Dragonscale Breastplate of Torment,13,0.013
Forged Boots of Abyss,8,0.008
Lava-Forged Bracer of Might,8,0.008
Divine Pendant of Moon,4,0.004
Cracked Quarterstaff of Healing,1,0.001
Wood Breastplate of Fiery Might,14,0.013999999999999999
Steel Boots of Brilliance,10,0.01
Enchanted Ring of Skill,9,0.009000000000000001
Enchanted Choker of Moon,1,0.001
Shadow Dagger of Might,1,0.001
Champion Breastplate of Shadows,18,0.018000000000000002
Mystic Boots of Arcane,11,0.011000000000000001
Crystal Bracer of Insanity,6,0.006
Crystal Amulet of Warding,3,0.003
Lava-Forged Double Bow of Moon,4,0.004
Tunic of Abyss,16,0.016
Cryptic Ring of Torment,5,0.005
Enchanted Necklace of Brilliance,4,0.004
Demonic Tome,1,0.001
Shirt of Insanity,14,0.013999999999999999
Lava-Forged Bracer of Healing,7,0.006999999999999999
